appointment_id,patient,prep_nurse,physician,start_time,end_time,examination_room
1,665-45-1846,128,94,10/25/2016,10/28/2016,R
2,234-02-3099,175,36,7/19/2005,7/27/2005,Q
3,211-96-0442,175,24,10/30/2019,11/5/2019,Q
4,221-17-5094,136,3,1/8/2012,1/13/2012,E
5,483-07-0218,3,71,8/2/2005,8/7/2005,I
6,350-26-0964,134,6,4/19/2001,4/27/2001,Z
7,291-20-5847,139,2,10/9/2003,10/12/2003,T
8,249-13-3350,188,41,9/16/2009,9/17/2009,S
9,726-27-6210,133,23,11/27/2003,11/30/2003,K
10,404-40-4275,98,74,10/7/2007,10/13/2007,G
11,271-18-5144,35,89,1/12/2000,1/19/2000,Y
12,790-55-8879,106,15,10/26/2009,10/30/2009,L
13,729-39-6570,52,94,6/21/2005,6/29/2005,X
14,668-51-2787,11,83,12/8/2006,12/11/2006,A
15,421-41-4464,111,96,4/10/2006,4/14/2006,S
16,183-88-3695,48,12,8/1/2011,8/5/2011,Q
17,635-07-6833,143,53,5/16/2005,5/20/2005,E
18,338-14-4894,18,3,10/14/1998,10/21/1998,M
19,614-55-4424,158,96,4/7/2002,4/15/2002,G
20,754-62-5809,100,41,11/23/2007,11/24/2007,Q
21,161-46-0294,64,47,6/8/2011,6/11/2011,X
22,612-48-3794,199,34,1/24/2014,1/25/2014,F
23,605-11-9856,171,88,8/21/2012,8/26/2012,L
24,155-82-9269,175,5,5/15/2011,5/20/2011,J
25,783-58-8049,195,19,9/6/2017,9/9/2017,K
26,210-65-4460,121,73,12/18/2009,12/25/2009,C
27,299-58-8863,79,18,3/24/2016,3/30/2016,G
28,281-96-6813,119,40,4/24/2013,4/25/2013,S
29,486-74-3399,52,43,4/12/2015,4/13/2015,A
30,202-15-4762,74,34,3/3/2012,3/7/2012,Z
31,284-42-8000,151,36,1/22/2006,1/30/2006,A
32,145-52-2937,168,98,6/25/2004,7/3/2004,L
33,516-25-4368,67,62,7/24/2006,7/27/2006,J
34,363-83-7603,191,17,11/26/2020,11/30/2020,R
35,353-31-0036,185,77,9/19/2010,9/27/2010,Y
36,107-98-8275,77,78,12/4/2018,12/5/2018,E
37,677-97-1523,91,32,9/30/2019,10/2/2019,K
38,835-07-1940,157,83,2/10/2003,2/15/2003,P
39,572-63-3085,198,19,1/14/2012,1/18/2012,H
40,411-16-6120,135,21,7/10/2016,7/18/2016,Z
41,547-14-7616,137,60,8/10/1998,8/16/1998,L
42,203-84-8576,90,93,11/15/2012,11/19/2012,T
43,683-89-1128,111,22,5/10/2021,5/13/2021,G
44,812-43-1389,27,96,8/17/2014,8/19/2014,W
45,611-54-8381,123,61,3/16/2014,3/19/2014,F
46,645-51-2415,147,68,9/3/2009,9/4/2009,L
47,887-23-7011,23,11,7/29/2007,8/6/2007,R
48,179-01-3010,107,74,11/27/2016,12/2/2016,U
49,301-06-4298,67,1,3/7/2003,3/9/2003,Y
50,388-78-2153,186,8,11/28/2015,12/4/2015,N
51,806-88-5996,152,72,8/7/2016,8/13/2016,W
52,453-50-1557,19,75,8/25/2005,8/30/2005,E
53,198-29-5818,52,1,1/4/2019,1/10/2019,I
54,533-88-9280,113,55,10/21/1998,10/24/1998,K
55,304-28-0932,131,95,2/21/2010,2/27/2010,H
56,893-35-6526,12,82,1/16/2019,1/19/2019,T
57,722-49-8680,100,39,11/13/2012,11/19/2012,G
58,663-58-3064,72,97,10/24/2009,11/1/2009,Q
59,200-01-6667,143,7,2/10/2003,2/16/2003,X
60,568-28-9045,91,31,12/26/2010,12/28/2010,I
61,566-24-2545,177,20,7/7/2019,7/15/2019,F
62,396-05-8173,75,51,4/2/1999,4/10/1999,Z
63,561-89-5366,6,85,11/30/2015,12/1/2015,X
64,250-97-2970,37,49,7/25/2002,7/29/2002,K
65,704-27-0956,183,58,12/4/2016,12/7/2016,M
66,376-44-0819,12,36,4/10/2007,4/15/2007,Q
67,213-63-5532,26,100,2/24/2015,2/25/2015,H
68,569-48-5837,131,27,9/1/2004,9/3/2004,Q
69,597-48-2305,79,95,2/14/1999,2/21/1999,F
70,615-33-3554,119,73,7/17/2000,7/23/2000,Z
71,109-65-1710,186,37,4/5/2010,4/9/2010,D
72,507-48-9468,175,72,2/18/1999,2/25/1999,E
73,379-73-6965,199,77,4/23/2001,5/1/2001,B
74,391-31-4683,127,21,9/4/2019,9/5/2019,W
75,461-79-5265,179,87,3/14/2016,3/20/2016,F
76,522-31-6038,36,68,4/5/2018,4/12/2018,R
77,738-57-6940,78,77,3/18/2013,3/25/2013,T
78,444-24-3183,30,46,4/9/2019,4/17/2019,R
79,578-67-1036,29,92,11/1/2014,11/5/2014,N
80,512-06-0301,60,50,5/15/2014,5/18/2014,O
81,409-27-4762,92,52,11/20/2014,11/28/2014,W
82,413-56-4162,15,34,1/17/2004,1/19/2004,V
83,707-91-8461,128,1,8/10/2018,8/14/2018,L
84,217-69-1209,99,6,3/9/2011,3/14/2011,Y
85,135-41-0659,20,24,12/20/2013,12/27/2013,A
86,275-94-4360,41,30,5/26/2003,6/1/2003,N
87,179-64-9751,174,2,12/10/1997,12/12/1997,A
88,467-43-8002,154,46,1/19/2006,1/20/2006,Q
89,243-91-7306,20,33,7/15/2004,7/19/2004,H
90,166-12-3910,137,51,4/12/1999,4/16/1999,H
91,153-69-6817,40,63,1/6/2000,1/7/2000,O
92,543-64-7762,76,85,8/8/2002,8/15/2002,Y
93,511-05-6443,159,13,6/28/2019,7/6/2019,V
94,834-94-7712,136,66,7/6/2008,7/11/2008,Z
95,279-14-7966,131,48,6/24/2014,7/2/2014,B
96,894-57-6474,2,70,10/3/2002,10/8/2002,P
97,802-66-9095,185,3,12/26/2014,12/31/2014,S
98,201-18-7127,184,55,11/14/2021,11/15/2021,g
99,377-18-2405,61,29,10/30/2002,11/3/2002,T
100,707-84-9295,11,20,4/9/1999,4/12/1999,D
101,219-45-1191,26,16,5/18/2010,5/20/2010,I
102,485-06-2669,65,94,2/15/2019,2/17/2019,H
103,352-53-5388,172,59,4/3/2003,4/10/2003,F
104,210-66-8866,124,85,5/14/2001,5/17/2001,L
105,452-96-3658,36,67,7/21/2001,7/22/2001,T
106,495-70-7486,116,79,3/27/2000,3/30/2000,H
107,578-25-6897,164,31,11/2/2020,11/5/2020,T
108,347-31-6000,24,98,1/26/2018,2/2/2018,N
109,378-60-2301,65,69,7/31/2001,8/3/2001,W
110,638-07-0950,96,34,11/10/1998,11/15/1998,A
111,819-03-9277,115,43,7/22/2015,7/28/2015,K
112,326-63-0249,200,62,2/4/2016,2/5/2016,L
113,852-35-1571,87,60,12/1/2003,12/4/2003,G
114,875-09-1450,113,80,8/29/2018,9/1/2018,O
115,313-56-2998,143,3,5/10/2010,5/17/2010,J
116,326-69-4480,106,27,6/5/2000,6/13/2000,B
117,704-64-1696,48,39,7/18/1999,7/22/1999,A
118,270-59-4878,157,90,2/23/2020,2/25/2020,O
119,667-65-9739,123,75,7/31/2018,8/8/2018,B
120,653-13-6209,180,50,3/9/2010,3/15/2010,Z
121,182-61-0843,197,89,6/27/2001,6/29/2001,F
122,868-06-3476,100,77,8/20/2019,8/22/2019,T
123,742-99-3214,158,20,2/23/2007,2/28/2007,Z
124,873-94-8728,195,4,12/25/2017,1/2/2018,S
125,298-23-7739,40,23,1/9/2000,1/11/2000,E
126,253-40-4800,199,97,1/4/2021,1/11/2021,B
127,482-38-0735,174,26,10/31/2015,11/7/2015,G
128,752-97-9672,30,36,4/19/2021,4/25/2021,A
129,503-51-4911,183,77,9/16/2012,9/24/2012,P
130,279-47-1825,38,79,3/7/2017,3/12/2017,A
131,515-91-6810,106,39,6/11/2007,6/16/2007,P
132,879-91-8782,23,51,6/4/2008,6/6/2008,L
133,577-49-3673,67,70,5/7/2000,5/15/2000,N
134,575-14-3728,31,59,3/12/2010,3/20/2010,K
135,641-51-1890,24,32,1/10/2014,1/13/2014,I
136,473-53-0195,185,4,1/10/2007,1/18/2007,g
137,561-41-8682,91,57,11/5/2009,11/10/2009,Y
138,518-98-4656,63,88,5/16/2000,5/22/2000,T
139,274-84-2960,153,7,1/8/2015,1/10/2015,J
140,500-67-3209,84,23,8/1/2018,8/2/2018,K
141,780-67-1215,132,93,1/22/1998,1/26/1998,K
142,683-66-0379,196,30,5/1/2019,5/2/2019,B
143,683-60-5570,151,31,8/2/2000,8/8/2000,X
144,505-56-3360,41,76,7/11/2001,7/15/2001,X
145,626-04-8030,153,75,1/10/2000,1/17/2000,Z
146,613-12-8760,194,30,10/7/2002,10/12/2002,C
147,100-02-8421,160,83,3/13/2002,3/18/2002,D
148,236-91-8312,191,25,9/26/2002,10/1/2002,W
149,785-25-8427,31,40,8/17/2007,8/24/2007,B
150,628-14-2977,58,79,9/27/2001,10/3/2001,Q
151,435-95-3439,15,78,7/13/2021,7/15/2021,R
152,366-94-3977,155,85,6/5/2009,6/12/2009,M
153,236-69-4020,116,57,7/16/2001,7/23/2001,W
154,136-41-5507,177,78,10/21/2015,10/26/2015,G
155,399-35-2118,65,25,3/24/2019,4/1/2019,P
156,558-07-2871,147,87,3/13/2020,3/18/2020,M
157,551-34-5087,17,35,8/11/2018,8/16/2018,B
