ssn,name,address,phone,insurance_id,pcp
364-14-4177,Dene Azam,7238 Stang Alley,966-654-0617,543937,70
659-89-0957,Stefa Hedgecock,5 Farwell Junction,903-198-9970,971032,56
728-91-4975,Riane Rottger,6 Hoepker Terrace,605-214-1478,811200,94
280-22-1687,Fiorenze Knuckles,964 Talisman Road,323-211-4695,545466,44
693-48-8160,Emera Southward,502 Macpherson Hill,579-656-7957,739988,27
238-61-1402,Rab Tallach,56748 Bunker Hill Pass,801-227-5428,906950,83
720-95-5300,Christophorus Schellig,9 Pleasure Parkway,118-244-4849,622546,88
427-14-4226,Kate Hellsdon,8175 Forest Court,701-259-4512,254717,16
138-95-3360,Merridie Salzberger,32 Logan Alley,957-855-1744,490328,7
730-67-6237,Collette Robez,82 Loomis Pass,173-907-3755,190141,44
553-83-6393,Krystal Girodias,2 Bunker Hill Pass,817-700-6493,722977,52
597-48-2305,Chariot de Nore,4 Sheridan Terrace,894-516-7674,115856,25
636-24-7478,Kimberley Harme,3 Debra Crossing,383-529-7826,580172,100
839-05-8759,Beulah Cossentine,357 Portage Crossing,930-748-6210,468316,86
102-09-3343,Ignaz Jaksic,838 Stoughton Alley,486-694-3397,588083,81
714-62-5349,Merrill Muehler,54 Charing Cross Place,486-217-6073,881894,37
127-18-0789,Bruis Henden,12556 Annamark Way,717-400-1964,337443,1
565-10-0166,Tommi Rhoddie,0499 Pankratz Pass,935-696-7224,732579,79
396-20-3645,Gabriell De Blase,483 Homewood Junction,374-268-0017,728863,96
800-25-8471,Jammal Reyna,4 Harbort Plaza,400-596-9577,173232,17
587-09-1324,Valaria Karchewski,036 Schmedeman Trail,468-110-3938,279991,81
770-02-7118,Robby Titchen,010 Algoma Hill,669-686-2531,661893,2
572-63-3085,Bondon Lavens,00 Basil Terrace,266-234-8969,683099,93
377-43-5549,Abbye Clausner,08 Anderson Place,971-105-8465,485031,32
303-38-3463,Luce Puddicombe,89 Forest Dale Road,412-833-4844,880849,78
322-26-4241,Reinwald Jobb,81 Summit Hill,946-228-8752,757017,19
482-86-4849,Ezmeralda Cockshoot,5965 Mesta Terrace,696-936-0103,527019,18
797-47-2882,Ellerey Craythorn,77 Roxbury Road,820-252-2149,836588,34
535-39-9222,Rory Pulbrook,858 Nova Pass,692-476-1515,465835,89
503-29-7051,Jethro Simko,0870 Nova Alley,750-924-5553,911553,32
378-05-9917,Dulcea Millins,61279 Pond Way,958-536-8198,829459,50
503-51-4911,Addi Purslow,191 Forster Terrace,794-555-8634,690617,12
508-05-1248,Kimberli Hoy,2167 Heffernan Crossing,665-841-0467,679084,54
560-17-4612,Carolee Laird-Craig,7 Hoepker Lane,744-250-7917,494235,96
304-58-9527,Sybilla Martyn,7719 Northwestern Avenue,789-802-2214,150043,42
845-78-5523,Helene Uttridge,11 Mallard Circle,798-875-3222,566272,69
198-29-5818,Ida Cluet,0 Fallview Hill,416-194-8871,135335,42
452-57-6605,Donal Saill,07 Coleman Place,907-740-0911,117659,69
520-99-9065,Doti Fishbourne,6 Sage Circle,931-192-8526,596442,85
460-40-9581,Howey Tame,9051 Rockefeller Drive,607-632-4615,839827,95
568-28-9045,Iggie Gresham,401 Manufacturers Place,937-868-7069,446588,80
596-41-0484,Yancy Scholling,25350 Fulton Trail,546-925-0828,892312,88
759-11-3665,Helenelizabeth Beedell,365 Briar Crest Junction,734-784-0544,826491,3
770-87-0214,Ernesta Pitkaithly,7998 Rigney Hill,101-270-1402,224303,68
236-91-8312,Ebeneser Gurery,74829 Pepper Wood Avenue,314-626-3640,620059,25
132-70-4434,Worden Copestake,8044 Forster Alley,132-241-3814,745963,40
249-13-3350,Hort Frye,7701 Fair Oaks Avenue,675-359-9243,907762,21
256-34-5590,Joseph Peteri,7 Eastwood Lane,228-901-0187,198845,32
566-24-2545,Maridel Dils,42172 Loftsgordon Park,446-695-0402,431206,94
323-81-3050,Hollis Bigglestone,550 David Drive,666-129-5393,729337,89
351-86-9776,Mei Patise,04 Anhalt Avenue,140-380-1405,298527,29
281-96-6813,Freeland Daniell,9 Algoma Center,820-803-1726,142616,40
354-37-2606,Lolita Romme,736 Helena Street,903-744-2203,455211,29
299-58-8863,Lilli Casserly,35862 Mariners Cove Parkway,412-575-2611,582913,100
212-98-1426,Whitaker Mathew,1 Aberg Place,159-327-4681,552948,49
670-79-5910,Kermie Rewbottom,254 Warner Terrace,935-832-9608,812303,10
114-70-2802,Almeta Duckworth,8556 Dakota Drive,388-266-3547,114944,37
801-86-2021,Alli Clissett,76071 Green Way,960-183-1665,208045,93
639-42-7594,Sterne Le Friec,022 Sachs Road,491-321-4356,235658,97
451-96-0236,Camile Adel,12 Fisk Trail,108-916-7580,424751,83
860-83-8404,Rosalinda Artingstall,3535 Stoughton Plaza,372-597-0753,769738,65
217-69-1209,Gibb Blow,35711 Blaine Terrace,151-832-2725,454945,49
831-67-2835,Mike Shrieve,945 Heffernan Center,845-803-3789,380070,7
308-76-3298,Bonni Rysom,7274 Havey Trail,629-782-2130,532896,54
793-72-7007,Arte Courtonne,2 Chinook Point,869-547-8050,390340,13
863-97-1531,Melantha Donnett,78 Pleasure Court,595-734-2168,822459,53
866-61-3614,Merrilee Diloway,468 Fordem Trail,685-827-8691,227039,28
739-99-6339,Emelita Pretsell,0089 Green Hill,367-569-9721,296523,56
809-87-4414,Letti Aronovich,26008 Hoard Road,382-337-8082,709679,42
651-22-7831,Engelbert Caldaro,6618 Briar Crest Place,718-745-6349,311719,78
593-28-3313,Stavro Mussilli,825 International Way,837-813-7462,312566,82
889-87-5633,Kamila Merali,73597 Anzinger Pass,975-154-2290,302195,75
261-42-5061,Haskell Truesdale,71 Dryden Trail,855-119-2250,507155,57
735-82-3826,Korella Milbank,6115 Washington Way,621-816-8937,432055,67
280-13-5270,Geri Duchart,240 Buena Vista Lane,993-630-8572,182955,35
529-74-6884,Wendeline Farmar,145 Crownhardt Hill,368-786-2115,898603,47
