physician,patient,medication,date,appointment,dose
8,393-13-1155,30,12/24/2013,279,66
39,738-47-8600,28,2/28/2010,828,59
27,386-25-4320,21,3/5/2020,744,57
31,311-94-2450,154,12/16/2016,73,55
6,259-27-9853,130,1/1/2012,614,33
35,164-43-5806,177,8/2/2019,59,92
8,716-41-6232,148,7/29/2003,909,48
39,877-56-7009,60,10/13/2007,58,22
39,515-91-6810,185,3/21/2003,330,68
27,210-65-4460,38,12/14/2002,495,24
60,363-83-7603,119,8/18/2014,167,19
35,735-82-3826,47,7/17/2009,785,34
25,745-92-3426,139,8/15/2019,102,50
97,346-89-2994,31,4/21/2010,145,100
35,452-70-1330,73,10/9/2009,839,48
73,730-91-7354,110,3/19/2006,314,98
67,687-97-8899,91,3/3/2001,643,17
67,308-76-3298,104,4/12/2001,284,4
35,755-04-5076,126,8/26/2013,605,47
25,578-25-6897,142,4/7/2001,93,54
27,770-87-0214,53,7/11/2000,764,7
73,877-56-7009,119,12/12/2005,453,40
73,479-74-6570,197,2/3/2018,644,74
27,408-19-5704,38,12/28/2005,862,69
8,879-91-8782,194,10/28/2000,571,49
66,668-73-1191,147,7/2/2020,238,11
25,737-52-6137,65,6/27/2016,823,83
97,101-34-6380,85,1/8/2011,650,33
25,219-45-1191,148,6/26/2000,259,33
59,300-17-1858,38,10/7/2021,210,43
35,582-56-2876,160,3/20/2013,450,49
25,779-85-5230,149,5/26/2018,308,47
66,799-98-3060,170,7/7/2005,586,74
27,603-28-0561,16,9/10/2008,387,48
73,546-58-3415,93,5/31/2011,27,76
35,200-87-8112,36,11/17/2015,339,60
73,155-82-9269,129,2/21/2016,527,3
67,643-46-4552,75,12/5/2017,182,56
36,363-83-7603,105,3/30/2004,373,79
66,899-04-4263,144,6/30/2007,715,78
67,756-85-8523,125,1/31/2003,378,48
55,415-36-2271,125,2/12/2001,154,90
59,532-35-3743,93,5/7/2019,723,75
6,806-88-5996,136,10/26/2007,213,19
73,710-58-0469,49,8/25/2012,400,51
27,499-28-4571,76,1/28/2021,865,15
78,225-06-9109,43,11/11/2001,980,19
8,270-96-9833,68,5/12/1999,168,58
60,452-70-1330,139,12/30/2006,31,80
27,692-22-9750,15,12/1/2019,308,13
97,120-51-0651,184,5/12/2007,238,71
97,635-07-6833,175,12/17/1998,492,18
66,312-64-5541,118,4/3/2001,503,20
66,533-88-9280,98,1/5/1998,691,1
67,478-34-5641,103,6/6/2011,546,70
27,886-42-5159,176,1/30/2012,969,25
6,346-89-2994,20,12/11/2017,266,19
73,700-46-6645,39,2/17/2016,457,70
8,596-41-0484,29,9/16/2021,700,86
66,879-05-4701,129,7/20/2007,25,68
66,155-82-9269,138,10/12/2005,209,70
27,650-37-0850,2,7/22/2006,244,37
27,560-95-3597,160,2/21/2007,155,76
39,683-11-1441,38,6/13/2015,296,72
73,667-65-9739,18,8/21/2020,171,54
25,281-96-6813,86,9/25/2001,288,18
67,475-34-1279,4,10/2/2013,324,39
8,452-96-3658,90,3/28/1998,955,89
87,802-39-0191,18,11/8/2013,436,23
73,219-45-1191,159,12/4/2018,891,35
12,268-36-1553,179,3/19/2020,845,69
36,560-95-3597,3,5/26/2000,928,61
25,770-87-0214,4,2/7/2019,616,5
8,847-06-9064,51,12/13/2020,310,9
97,683-66-0379,57,8/14/1998,307,30
