stay_id,patient,room,start_time,end_time
1.0,335-69-9994,1.0,6/3/2021,2021-06-08
2.0,407-97-9152,180.0,8/23/2021,2021-08-29
3.0,879-05-4701,3.0,5/25/2021,2021-06-01
4.0,887-06-6051,233.0,6/1/2021,2021-06-02
5.0,515-97-8303,5.0,5/29/2021,2021-05-30
6.0,201-18-7127,60.0,7/11/2021,2021-07-17
7.0,674-18-5670,218.0,10/21/2021,2021-10-23
8.0,408-17-1689,37.0,8/20/2021,2021-08-22
9.0,412-88-2523,9.0,4/30/2021,2021-05-07
10.0,702-58-7484,222.0,11/1/2021,2021-11-06
11.0,681-59-7601,11.0,10/9/2021,2021-10-17
12.0,513-72-4772,91.0,9/30/2021,2021-10-05
13.0,103-16-1964,131.0,4/9/2021,2021-04-10
14.0,887-23-7011,14.0,7/27/2021,2021-07-31
15.0,577-49-3673,15.0,11/2/2021,2021-11-04
16.0,326-69-4480,13.0,10/14/2021,2021-10-16
17.0,374-54-2299,237.0,9/4/2021,2021-09-12
18.0,657-30-5371,18.0,8/9/2021,2021-08-15
19.0,737-52-6137,19.0,12/27/2020,2021-01-01
20.0,518-98-4656,199.0,4/1/2021,2021-04-02
21.0,473-53-0195,21.0,4/30/2021,2021-05-02
22.0,535-58-9745,194.0,6/22/2021,2021-06-26
23.0,507-48-9468,46.0,12/31/2020,2021-01-08
24.0,112-17-5971,140.0,3/8/2021,2021-03-15
25.0,391-91-7910,25.0,6/25/2021,2021-07-01
26.0,437-07-1323,26.0,10/16/2021,2021-10-22
27.0,538-26-4262,27.0,7/3/2021,2021-07-11
28.0,801-31-5572,17.0,3/18/2021,2021-03-23
29.0,167-50-6319,29.0,5/1/2021,2021-05-07
30.0,877-56-7009,150.0,5/23/2021,2021-05-26
31.0,711-25-5754,33.0,2/14/2021,2021-02-19
32.0,785-25-8427,94.0,9/22/2021,2021-09-30
33.0,170-80-4398,82.0,12/2/2020,2020-12-08
34.0,744-50-4151,34.0,5/16/2021,2021-05-21
35.0,222-66-5653,35.0,12/10/2020,2020-12-17
36.0,735-82-3826,73.0,4/4/2021,2021-04-06
37.0,535-58-9745,37.0,1/27/2021,2021-01-28
38.0,202-15-4762,38.0,11/16/2021,2021-11-22
39.0,832-33-2480,11.0,11/9/2021,2021-11-16
40.0,889-87-5633,40.0,3/23/2021,2021-03-24
41.0,326-88-2930,36.0,3/28/2021,2021-04-04
42.0,225-72-0476,71.0,11/13/2021,2021-11-14
43.0,396-05-8173,76.0,9/1/2021,2021-09-04
44.0,819-76-9250,44.0,3/1/2021,2021-03-07
45.0,159-69-5007,45.0,12/16/2020,2020-12-22
46.0,443-18-5565,70.0,8/27/2021,2021-08-29
47.0,710-58-0469,15.0,3/31/2021,2021-04-05
48.0,313-46-3659,13.0,4/8/2021,2021-04-15
49.0,809-87-4414,14.0,6/11/2021,2021-06-16
50.0,109-65-1710,174.0,3/21/2021,2021-03-28
51.0,561-89-5366,116.0,8/23/2021,2021-08-31
52.0,709-93-2762,143.0,5/7/2021,2021-05-12
53.0,209-84-5629,53.0,11/19/2021,2021-11-20
54.0,467-70-5039,186.0,9/2/2021,2021-09-10
55.0,462-38-2258,195.0,6/13/2021,2021-06-20
56.0,578-25-6897,56.0,9/2/2021,2021-09-08
57.0,313-56-2998,224.0,6/5/2021,2021-06-09
58.0,431-42-8640,236.0,4/5/2021,2021-04-08
59.0,618-73-5603,186.0,4/28/2021,2021-05-06
60.0,816-94-3864,60.0,1/4/2021,2021-01-08
61.0,871-03-9339,121.0,10/2/2021,2021-10-09
62.0,378-60-2301,179.0,1/5/2021,2021-01-10
63.0,107-98-8275,48.0,3/2/2021,2021-03-03
64.0,500-84-0820,27.0,5/18/2021,2021-05-19
65.0,899-04-4263,98.0,6/18/2021,2021-06-26
66.0,513-72-4772,109.0,10/25/2021,2021-10-27
67.0,668-51-2787,10.0,9/5/2021,2021-09-12
68.0,752-77-4954,68.0,11/7/2021,2021-11-12
69.0,689-96-3224,69.0,8/18/2021,2021-08-21
70.0,636-24-7478,175.0,9/4/2021,2021-09-10
71.0,369-10-6476,130.0,3/10/2021,2021-03-15
72.0,155-20-4594,92.0,10/31/2021,2021-11-03
73.0,649-61-5215,29.0,5/31/2021,2021-06-07
